,R_fighter,B_fighter,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
5,Leonardo Santos,Grant Dawson,0.0,0.0,0.515,0.47375,0.4350000000000001,0.25,1.25,0.625,0.0,0.25,86.0,40.75,55.5,25.125,150.625,93.5,79.0,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10.0,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2.0,3.0,2.75,14.0,9.125,2.375,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,177.8,182.88,145.0,0.3125,0.015625,0.56515625,0.34359375000000003,0.33703125,0.04890625,0.0390625,0.0,0.0,0.5,78.9296875,42.1875,78.6171875,32.046875,110.9140625,68.0625,99.2890625,48.8984375,1.40625,0.6328125,5.6875,0.515625,65.1953125,32.28125,54.765625,14.3203125,9.609375,5.9453125,16.7265625,11.3046875,4.125,3.9609375,7.125,6.421875,62.28125,28.8828125,67.5390625,25.15625,6.234375,5.171875,3.875,3.2734375,10.4140625,8.1328125,7.203125,3.6171875,59.03125,193.546875,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,182.88,190.5,155.0,27.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,Islam Makhachev,Drew Dober,0.388671875,0.0,0.469420166015625,0.4209600830078125,0.031591796875,0.3411578369140625,0.0001220703125,0.098388671875,0.0,0.01953125,95.99322509765624,42.1259765625,68.90057373046875,24.63958740234375,101.3607177734375,46.9869384765625,73.6173095703125,29.288330078125,0.18060302734375,0.0673828125,3.02996826171875,1.6744384765625,82.55108642578125,32.88763427734375,55.364013671875,15.5419921875,7.69122314453125,4.7169189453125,11.87322998046875,8.01904296875,5.75091552734375,4.52142333984375,1.663330078125,1.07855224609375,85.18658447265625,33.2042236328125,62.77264404296875,20.0989990234375,6.55426025390625,4.88812255859375,4.61328125,3.29547119140625,4.25238037109375,4.03363037109375,1.5146484375,1.2451171875,27.59954833984375,56.83709716796875,391.523193359375,29,0,0,2,3,9,6,0,0,0,3,5,1,0,172.72,177.8,155.0,0.5625,0.0078125,0.51875,0.2390625,0.2865625,0.02,0.1640625,0.0625,0.03125,0.0625,57.7421875,27.875,43.734375,8.3125,96.8828125,61.9921875,68.0234375,31.359375,3.1328125,1.3671875,3.5625,0.25,48.1953125,20.0859375,29.515625,3.96875,7.03125,5.5234375,11.890625,2.8515625,2.515625,2.265625,2.328125,1.4921875,42.21875,16.4296875,40.125,5.3046875,3.640625,3.5703125,3.4765625,2.90625,11.8828125,7.875,0.1328125,0.1015625,274.171875,44.03125,760.53125,17,0,1,0,6,7,1,0,0,0,4,1,2,0,177.8,177.8,155.0,32.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,Alexander Hernandez,Thiago Moises,0.0,0.125,0.3,0.459375,0.37125,0.381875,1.0625,0.125,0.0,0.5,85.125,30.375,138.4375,63.3125,90.25,34.8125,154.5,76.9375,3.125,1.25,3.0,1.375,71.6875,20.5,82.375,22.375,5.8125,3.6875,34.125,23.375,7.625,6.1875,21.9375,17.5625,81.375,27.375,127.5625,56.6875,1.3125,1.0625,3.9375,2.8125,2.4375,1.9375,6.9375,3.8125,87.9375,113.0625,756.25,14,0,0,1,2,3,2,0,0,0,2,0,1,0,175.26,177.8,155.0,0.53125,0.0625,0.4490625,0.3703124999999999,0.1625,0.0728125,0.0,0.03125,0.03125,0.0,73.875,30.65625,67.71875,28.09375,77.84375,34.34375,69.71875,30.09375,1.8125,0.875,0.25,0.125,51.34375,16.78125,54.90625,19.5625,16.84375,8.75,7.5625,4.3125,5.6875,5.125,5.25,4.21875,68.375,26.625,61.875,24.15625,4.46875,3.34375,4.8125,3.03125,1.03125,0.6875,1.03125,0.90625,34.125,11.90625,368.875,12,0,2,0,2,4,2,0,0,0,2,2,0,0,175.26,182.88,155.0,25.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
72,Michael Johnson,Clay Guida,0.039550840854644775,0.00808858871459961,0.3756168338283896,0.4319537338241935,0.19659693095833064,0.3305345526337624,0.0020926520228385925,1.318321816623211,1.52587890625e-05,5.960464477539063e-08,65.76086924597621,24.516304474323988,103.61632078513504,52.721100963652134,74.35290984436871,32.476967550814145,109.14496472850443,56.60223400965333,6.519973859190941,1.673881109803915,1.5112833380699158,1.003301277756691,50.40209876000881,13.523837611079216,73.34850512072444,27.3082973882556,5.623657565563917,2.528600763529539,23.77583839744329,19.176095716655254,9.73511292040348,8.463866099715233,6.4919772669672975,6.2367078587412825,59.39782929420471,21.267609242349863,86.42723658308388,36.380767330527306,4.551370121538638,2.141735389828682,10.176336903125046,9.328201979398726,1.8116698302328589,1.1069598421454427,7.012747298926115,7.012131653726102,181.2905335985124,36.48100800812245,611.8773628845812,74,0,1,0,4,15,14,0,0,3,6,2,4,0,170.18,177.8,155.0,0.0020966529846191406,0.12500381469726562,0.4184706783294678,0.21866769313812254,0.06636105537414551,0.08333432912826537,0.00390625,0.5508246421813965,0.031251192092895515,0.0,110.5100371837616,45.89661812782288,84.71824979782104,31.515353441238407,112.15935206413269,47.450668573379524,90.44283819198608,37.10687494277954,0.18146276473999026,0.07171750068664551,3.0903689861297607,0.33602309226989746,73.3852162361145,21.914445161819454,68.50012993812561,19.442429304122925,27.853427410125732,15.787296295166016,5.4573893547058105,3.114812135696411,9.271393537521364,8.194876670837402,10.760730504989624,8.95811200141907,109.1332643032074,44.75282692909241,72.14240097999574,23.840298891067505,0.5295631885528564,0.3773977756500244,0.5744895935058594,0.31465840339660645,0.8472096920013428,0.7663934230804443,12.001359224319458,7.360396146774293,16.067943811416626,54.0317771434784,594.9652609825133,58,1,0,1,4,11,12,0,0,1,6,4,0,0,177.8,185.42,155.0,39.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74,Diego Ferreira,Beneil Dariush,0.7597732543945312,0.0195465087890625,0.5883159637451172,0.5049571990966797,0.2483944702148438,0.002325897216796875,0.7502670288085938,0.12635040283203125,0.0,0.0001220703125,47.699302673339844,27.40708923339844,22.19317626953125,11.45452117919922,53.10086059570313,31.305992126464844,27.519927978515625,16.599113464355472,2.5864791870117188,0.75091552734375,0.6224822998046875,0.01027679443359375,40.20098114013672,20.776596069335934,16.900932312011722,6.787651062011719,4.6580352783203125,3.906295776367188,3.203369140625,2.579414367675781,2.8402862548828125,2.7241973876953125,2.0888748168945312,2.0874557495117188,41.67388916015625,22.87870788574219,20.16222381591797,9.79363250732422,3.5045089721679688,2.6410064697265625,1.9604721069335935,1.5943374633789062,2.520904541015625,1.8873748779296875,0.0704803466796875,0.06655120849609375,176.6449203491211,17.745681762695312,320.97577667236334,36,0,1,0,5,13,5,0,0,1,4,3,5,0,177.8,182.88,155.0,0.033203125,0.015625,0.41353515625,0.40904296875,0.243203125,0.0373046875,0.693359375,0.0,0.017578125,0.0,155.05078125,55.72265625,86.759765625,31.7421875,169.244140625,68.078125,90.28125,35.103515625,4.349609375,1.626953125,2.140625,0.40625,128.6484375,39.396484375,71.705078125,21.865234375,20.302734375,11.369140625,12.142578125,7.5390625,6.099609375,4.95703125,2.912109375,2.337890625,141.013671875,46.54296875,82.662109375,28.623046875,4.935546875,3.455078125,2.978515625,2.41015625,9.1015625,5.724609375,1.119140625,0.708984375,141.439453125,12.189453125,588.341796875,21,0,2,0,6,8,2,0,0,0,3,3,2,0,175.26,187.96,155.0,31.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
85,Dustin Poirier,Conor McGregor,1.09326171875,0.0,0.636923828125,0.2298681640625,0.0013671875,0.149453125,0.0,0.3134765625,0.03125,0.0,67.4736328125,39.1650390625,62.5146484375,31.83447265625,83.50634765625,54.38427734375,78.97021484375,46.5078125,0.09716796875,0.0029296875,2.662109375,0.875,54.37841796875,29.146484375,50.47119140625,23.77294921875,9.115234375,6.89013671875,9.91015625,6.93505859375,3.97998046875,3.12841796875,2.13330078125,1.12646484375,49.345703125,24.1455078125,37.96142578125,14.845703125,6.8056640625,6.1962890625,8.17724609375,5.39501953125,11.322265625,8.8232421875,16.3759765625,11.59375,20.53173828125,217.447265625,469.65283203125,25,4,7,0,7,10,2,0,1,0,1,8,0,0,175.26,187.96,155.0,0.06524658203125,0.00201416015625,0.5225306129455567,0.5415394997596741,0.10227920889854432,0.45571554899215705,2.390918493270874,0.7622485160827637,0.003908276557922363,0.03125,194.73893547058103,112.434832572937,206.409423828125,112.06316387653351,230.5745335817337,146.6528024673462,234.83213126659396,137.77881395816806,4.765745997428893,0.7170652151107788,6.758134484291077,3.7773706912994394,172.0664359331131,94.65925252437592,156.37134408950806,73.8944274187088,18.180740356445312,13.833327651023865,35.122079610824585,24.750801920890808,4.491759181022643,3.942252397537232,14.916000127792358,13.4179345369339,169.2405136823654,90.86391746997832,186.78266429901126,96.66168177127838,14.494432806968687,12.723297834396362,11.80314552783966,8.704848051071169,11.003988981246948,8.847617268562319,7.823614001274109,6.69663405418396,119.52553451061249,328.4555341005325,1202.237241268158,58,2,4,0,4,18,6,0,1,0,6,8,3,0,175.26,182.88,155.0,32.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
87,Arman Tsarukyan,Matt Frevola,0.0,0.5,0.39875,0.3925,0.40125,0.275,0.625,1.375,0.625,1.75,100.0,41.125,114.375,44.875,107.125,47.125,122.625,52.875,7.5,3.25,1.625,0.625,73.5,24.0,97.5,35.125,16.75,8.0,14.375,7.625,9.75,9.125,2.5,2.125,93.5,37.375,101.0,36.125,4.5,2.0,7.375,4.625,2.0,1.75,6.0,4.125,168.5,51.5,795.0,10,0,0,2,2,2,2,0,0,1,1,0,0,0,175.26,180.34,155.0,0.0,0.0,0.415,0.4525,0.165,0.11,0.0,0.0,0.0,0.0,135.5,60.5,68.5,25.75,179.5,101.5,89.5,45.25,8.25,1.25,5.5,1.0,105.5,38.25,52.5,15.25,17.75,11.0,13.5,8.5,12.25,11.25,2.5,2.0,116.5,46.5,58.75,19.75,7.75,6.0,5.75,4.25,11.25,8.0,4.0,1.75,239.0,115.75,900.0,9,0,0,1,2,2,1,0,0,0,2,0,0,0,170.18,182.88,155.0,30.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
128,Renato Moicano,Rafael Fiziev,0.0,0.25,0.685,0.535,0.5,0.0,0.0,0.0,0.0,0.0,95.0,55.75,110.25,50.25,98.75,59.5,116.25,55.75,1.25,0.75,4.75,0.0,54.0,24.0,80.25,26.5,27.0,19.5,17.5,13.5,14.0,12.25,12.5,10.25,82.5,46.75,101.25,43.0,11.5,8.0,7.25,5.5,1.0,1.0,1.75,1.75,108.0,27.0,696.5,7,0,0,1,2,2,1,0,0,0,2,0,0,0,172.72,180.34,155.0,0.0625,0.25,0.3606640625,0.3811718750000001,0.551953125,0.0014453125,0.56640625,0.015625,0.0,0.0,23.53125,10.796875,27.2421875,11.9765625,25.5625,12.8203125,27.88671875,12.62109375,0.703125,0.61328125,0.1328125,0.01171875,18.46484375,7.3125,22.453125,8.51171875,1.84375,0.99609375,2.140625,1.41015625,3.22265625,2.48828125,2.6484375,2.0546875,22.546875,10.15234375,21.75,7.80078125,0.1953125,0.171875,0.97265625,0.9140625,0.7890625,0.47265625,4.51953125,3.26171875,19.078125,6.9765625,148.2734375,19,0,3,0,3,6,3,0,0,2,1,0,3,0,180.34,182.88,155.0,27.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
131,Tony Ferguson,Charles Oliveira,0.3750611543655396,0.06250190734863281,0.6097271004319191,0.4527076748013497,0.10754324853420258,0.3935061538219452,1.2544159591197968,0.0015271902084350586,0.6289064884185791,0.50341796875,48.832538694143295,31.116684794425964,55.71232223510742,26.68068286776543,53.740688264369965,36.01949319243431,66.66742596030235,37.446382582187645,0.930060476064682,0.141063392162323,2.0094976425170903,1.251160949468613,34.899484306573875,19.72487697005272,49.42173326015472,21.86918354034424,9.135449677705763,6.756447225809097,5.374623715877533,4.098820835351944,4.797604709863664,4.635360598564149,0.9159652590751648,0.7126784920692444,39.7503973543644,23.85054260492325,46.328400045633316,20.32318326830864,4.012462705373763,2.716161370277405,1.0724018514156342,0.7900670766830444,5.069678634405137,4.549980819225311,8.311520338058473,5.567432522773743,22.94133710861206,212.4883408546448,426.16743636131287,48,0,2,0,7,17,9,0,0,0,1,2,14,0,177.8,187.96,155.0,0.0041656494140625,0.14166259765625,0.4913665771484375,0.5598057556152344,0.00309234619140625,0.2875439453125,0.193267822265625,0.00048828125,0.00439453125,0.000732421875,244.771240234375,119.74331665039062,176.15457153320312,102.4594268798828,245.37774658203125,120.32037353515624,178.1526336669922,104.19064331054688,0.0855865478515625,0.00323486328125,0.870574951171875,0.4599609375,175.8809356689453,64.15956115722656,139.95744323730472,70.60249328613281,37.43997192382813,28.54063415527344,17.12255859375,13.15216064453125,31.45033264160156,27.043121337890625,19.07456970214844,18.70477294921875,241.13253784179688,117.29289245605469,172.46180725097656,100.11842346191406,1.59014892578125,0.931182861328125,0.8724517822265625,0.32537841796875,2.048553466796875,1.5192413330078125,2.8203125,2.015625,1.4222412109375,32.631378173828125,1049.5812683105466,40,3,3,0,12,15,2,0,0,1,3,3,6,2,180.34,193.04,155.0,31.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,Gabriel Benitez,Justin Jaynes,1.0,0.0,0.465,0.335,0.0,0.25,0.5,2.0,0.5,0.5,65.5,28.5,113.0,45.5,66.5,29.0,113.5,46.0,0.5,0.0,1.0,0.5,56.0,22.0,95.5,32.5,9.5,6.5,15.5,11.5,0.0,0.0,2.0,1.5,54.5,20.5,111.0,45.0,3.5,3.0,1.5,0.5,7.5,5.0,0.5,0.0,20.5,42.0,372.0,4,0,1,0,1,1,1,0,0,0,0,1,0,0,170.18,172.72,155.0,0.140625,0.2578125,0.3269140625,0.4090234375,0.125,0.0365234375,0.0390625,0.15625,0.03125,0.0,129.02734375,40.05078125,145.6171875,44.5625,130.21484375,41.10546875,147.85546875,46.26953125,0.625,0.125,1.11328125,0.37890625,98.140625,17.4296875,122.515625,27.1640625,18.15234375,13.08984375,16.484375,11.9609375,12.734375,9.53125,6.6171875,5.4375,126.6171875,38.703125,140.03515625,41.984375,0.1875,0.08203125,3.55859375,1.453125,2.22265625,1.265625,2.0234375,1.125,8.3984375,18.546875,616.171875,20,0,2,0,2,5,4,0,0,0,2,1,2,0,172.72,180.34,155.0,31.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
