,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
5,Leonardo Santos,Grant Dawson,2021-03-20,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,177.8,182.88,145.0,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,182.88,190.5,155.0,27.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,Islam Makhachev,Drew Dober,2021-03-06,391.523193359375,29,0,0,2,3,9,6,0,0,0,3,5,1,0,172.72,177.8,155.0,760.53125,17,0,1,0,6,7,1,0,0,0,4,1,2,0,177.8,177.8,155.0,32.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,Alexander Hernandez,Thiago Moises,2021-02-27,756.25,14,0,0,1,2,3,2,0,0,0,2,0,1,0,175.26,177.8,155.0,368.875,12,0,2,0,2,4,2,0,0,0,2,2,0,0,175.26,182.88,155.0,25.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
72,Michael Johnson,Clay Guida,2021-02-06,611.8773628845812,74,0,1,0,4,15,14,0,0,3,6,2,4,0,170.18,177.8,155.0,594.9652609825133,58,1,0,1,4,11,12,0,0,1,6,4,0,0,177.8,185.42,155.0,39.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74,Diego Ferreira,Beneil Dariush,2021-02-06,320.97577667236334,36,0,1,0,5,13,5,0,0,1,4,3,5,0,177.8,182.88,155.0,588.341796875,21,0,2,0,6,8,2,0,0,0,3,3,2,0,175.26,187.96,155.0,31.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
85,Dustin Poirier,Conor McGregor,2021-01-23,469.65283203125,25,4,7,0,7,10,2,0,1,0,1,8,0,0,175.26,187.96,155.0,1202.237241268158,58,2,4,0,4,18,6,0,1,0,6,8,3,0,175.26,182.88,155.0,32.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
87,Arman Tsarukyan,Matt Frevola,2021-01-23,795.0,10,0,0,2,2,2,2,0,0,1,1,0,0,0,175.26,180.34,155.0,900.0,9,0,0,1,2,2,1,0,0,0,2,0,0,0,170.18,182.88,155.0,30.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
128,Renato Moicano,Rafael Fiziev,2020-12-12,696.5,7,0,0,1,2,2,1,0,0,0,2,0,0,0,172.72,180.34,155.0,148.2734375,19,0,3,0,3,6,3,0,0,2,1,0,3,0,180.34,182.88,155.0,27.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
131,Tony Ferguson,Charles Oliveira,2020-12-12,426.16743636131287,48,0,2,0,7,17,9,0,0,0,1,2,14,0,177.8,187.96,155.0,1049.5812683105466,40,3,3,0,12,15,2,0,0,1,3,3,6,2,180.34,193.04,155.0,31.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,Gabriel Benitez,Justin Jaynes,2020-12-05,372.0,4,0,1,0,1,1,1,0,0,0,0,1,0,0,170.18,172.72,155.0,616.171875,20,0,2,0,2,5,4,0,0,0,2,1,2,0,172.72,180.34,155.0,31.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
