fighter,total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Aaron Riley,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,172.72,175.26,155,25
Aaron Simpson,894.6191406,26,0,3,0,3,7,3,0,0,1,4,2,0,0,Orthodox,182.88,185.42,170,38
Abdul Razak Alhassan,535.21875,10,0,1,0,3,4,2,0,0,0,0,4,0,0,Orthodox,177.8,185.42,170,35
Adlan Amagov,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,187.96,193.04,170,26
Akihiro Gono,699.5,5,0,1,0,1,1,1,0,0,0,0,0,1,0,Switch,170.18,172.72,170,34
Alan Jouban,742.1953125,16,0,1,0,3,6,2,0,0,0,3,3,0,0,Southpaw,182.88,185.42,170,35
Albert Tumenov,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,22
Alberto Mina,578.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,Orthodox,182.88,195.58,170,34
Aleksei Kunchenko,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,Orthodox,172.72,177.8,170,35
Alex Garcia,828.9375,13,0,2,0,2,3,2,0,0,1,1,1,0,0,Orthodox,175.26,182.88,170,29
Alex Karalexis,286,3,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,172.72,167.64,155,28
Alex Morono,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,180.34,182.88,170,26
Alex Oliveira,870.1791763,42,0,0,1,3,11,7,0,0,1,3,4,3,0,Orthodox,180.34,193.04,170,32
Alexander Yakovlev,900,9,0,0,2,1,1,2,0,0,0,1,0,0,0,Southpaw,190.5,187.96,155,31
Alvaro Herrera Mendoza,30,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,182.88,187.96,155,26
Amilcar Alves,791,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,182.88,,170,22
Amir Sadollah,872.3339844,25,1,1,0,2,6,4,0,0,1,3,1,1,0,Orthodox,177.8,190.5,170,34
Andreas Stahl,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,27
Andrew Craig,773.375,16,0,2,0,2,3,3,0,0,1,1,1,0,0,Orthodox,185.42,193.04,170,29
Ansar Chalangov,145,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,,170,26
Anthony Ivy,59,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,187.96,185,30
Anthony Johnson,654.015625,17,0,1,0,3,6,3,0,0,0,1,5,0,0,Orthodox,187.96,198.12,205,27
Anthony Lapsley,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,175.26,,170,34
Anthony Pettis,737.9572067,48,4,0,1,5,10,9,0,0,1,2,3,4,0,Orthodox,177.8,182.88,155,33
Anthony Rocco Martin,882.7421875,23,0,0,2,3,5,4,0,0,0,3,0,2,0,Orthodox,182.88,185.42,170,28
Anthony Torres,157,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,172.72,,170,29
Anton Zafir,276,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,29
Anying Wang,300,1,0,1,0,1,1,0,0,0,0,0,0,0,1,Orthodox,182.88,,170,23
Augusto Montano,595,4,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,185.42,185.42,170,31
Bartosz Fabinski,900,9,0,3,0,3,3,0,0,0,0,3,0,0,0,Orthodox,182.88,190.5,170,32
Belal Muhammad,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,28
Ben Alloway,598.5,4,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,180.34,193.04,170,32
Ben Askren,200,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,180.34,185.42,170,34
Ben Saunders,687.5595703,25,0,3,0,3,8,4,0,0,1,2,2,3,0,Orthodox,187.96,195.58,170,34
Benji Radach,463.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,177.8,,185,23
Benson Henderson,947.9921875,47,5,7,0,7,10,3,0,0,3,5,0,2,0,Southpaw,175.26,177.8,170,32
Besam Yousef,456,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,28
BJ Penn,1426.417061,55,11,3,0,3,11,7,0,0,0,1,5,4,1,Orthodox,175.26,177.8,155,31
Bobby Nash,585,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,27
Bobby Voelker,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,34
Bojan Velickovic,900,9,0,1,0,1,1,2,0,0,0,1,0,0,0,Southpaw,182.88,193.04,170,28
Brad Blackburn,843.625,11,0,3,0,3,3,1,0,0,1,1,1,0,0,Orthodox,177.8,185.42,170,32
Brad Gumm,600,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,
Brad Scott,535.828125,16,1,0,1,1,3,4,0,0,1,0,0,2,0,Orthodox,185.42,193.04,170,28
Brandon Thatch,624.5625,10,0,2,0,2,2,3,0,0,0,0,2,0,0,Switch,187.96,187.96,170,31
Brandon Wolff,109,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,,170,33
Brendan O'Reilly,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,170.18,175.26,170,27
Brian Camozzi,536,5,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,26
Brian Ebersole,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Southpaw,182.88,185.42,170,30
Brian Foster,437,4,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,175.26,180.34,170,25
Brian Melancon,299,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,172.72,,170,31
Bristol Marunde,833,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,190.5,170,31
Brock Jardine,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,27
