R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,Win
Song Kenan,Max Griffin,0.5356632481506389,0.3802816901408451,0,0,1,1,4,6,0.5000000000000009,0.7142857142857144,0.41666666666666696,0.28668018931710615,0.10714285714285714,0,2,0,2,4,1,0.6000000000000005,0.3076923076923075,0.41666666666666696,0.75,0.5217391304347827,1.0,0.0,0.0,1.0,0.0,0.0,0
Leon Edwards,Belal Muhammad,0.5803989392442839,0.46478873239436624,0,0,1,4,9,3,0.5000000000000009,0.4285714285714288,0.41666666666666696,0.8469048449121027,0.4404761904761904,0,0,1,8,10,2,0.8000000000000007,0.5384615384615383,0.41666666666666696,0.6000000000000001,0.43478260869565233,0.0,1.0,0.0,1.0,0.0,0.0,1
Matthew Semelsberger,Jason Witt,0.15164761264290516,0.02816901408450704,0,0,1,1,1,1,0.40000000000000124,0.2857142857142865,0.41666666666666696,0.5943204868154157,0.023809523809523808,0,1,0,1,1,0,0.7000000000000002,0.615384615384615,0.41666666666666696,0.7000000000000002,0.39130434782608714,0.0,0.0,1.0,1.0,0.0,0.0,2
Sean Brady,Jake Matthews,0.5706311798608776,0.46478873239436624,0,2,0,3,10,4,0.5000000000000009,0.5,0.41666666666666696,0.42765382014874914,0.08333333333333333,0,3,0,3,3,0,0.40000000000000124,0.38461538461538414,0.41666666666666696,0.30000000000000004,0.39130434782608714,1.0,0.0,0.0,1.0,0.0,0.0,2
Belal Muhammad,Dhiego Lima,0.5025454984868863,0.23943661971830985,2,0,1,3,4,5,0.8000000000000007,0.6428571428571432,0.41666666666666696,0.561938096898242,0.3571428571428571,0,0,1,4,8,3,0.5000000000000009,0.38461538461538414,0.41666666666666696,0.6000000000000001,0.5652173913043479,1.0,0.0,0.0,1.0,0.0,0.0,2
Kamaru Usman,Gilbert Burns,0.6595816493595537,0.49295774647887325,0,3,0,6,12,3,0.40000000000000124,0.35714285714285765,0.41666666666666696,0.9748322214122718,0.49999999999999994,4,12,0,12,12,0,0.6000000000000005,0.6923076923076925,0.41666666666666696,0.7000000000000002,0.6086956521739131,0.0,0.0,1.0,1.0,0.0,0.0,2
Warlley Alves,Mounir Lazzez,0.5965030262273033,0.02816901408450704,0,1,0,1,1,0,0.7000000000000002,0.7142857142857144,0.41666666666666696,0.35758628613083165,0.3095238095238095,1,4,0,4,7,4,0.5000000000000009,0.38461538461538414,0.41666666666666696,0.6500000000000001,0.4782608695652175,1.0,0.0,0.0,1.0,0.0,0.0,2
Michael Chiesa,Neil Magny,0.5854156119918054,0.8450704225352113,0,1,0,7,17,6,0.9000000000000004,1.0,0.41666666666666696,0.5033669616823022,0.3452380952380952,1,2,0,3,10,4,0.7000000000000002,0.615384615384615,0.41666666666666696,0.6500000000000001,0.6086956521739131,0.0,1.0,0.0,1.0,0.0,0.0,2
Carlos Condit,Matt Brown,0.26153806363005083,0.8028169014084507,0,1,0,7,15,11,0.6000000000000005,0.6428571428571432,0.41666666666666696,0.455425414626384,0.5595238095238095,3,0,1,5,8,9,0.8000000000000007,0.615384615384615,0.41666666666666696,1.0,0.7391304347826086,1.0,0.0,0.0,1.0,0.0,0.0,2
David Zawada,Ramazan Emeev,0.5965030262273033,0.19718309859154928,0,3,0,3,4,1,0.40000000000000124,0.7142857142857144,0.41666666666666696,0.3385733603786342,0.07142857142857142,0,0,2,1,1,2,0.6000000000000005,0.615384615384615,0.41666666666666696,0.6500000000000001,0.4782608695652175,1.0,0.0,0.0,0.0,1.0,0.0,0
