R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Song Kenan,Max Griffin,809.53125,28,0,0,1,1,4,6,180.34,193.04,170,445,10,0,2,0,2,4,1,182.88,180.34,170,35,31,0,0,0,0
Leon Edwards,Belal Muhammad,876.0532227,34,0,0,1,4,9,3,180.34,182.88,170,1273.572266,38,0,0,1,8,10,2,187.96,187.96,170,32,29,1,0,-1,1
Matthew Semelsberger,Jason Witt,238.5,3,0,0,1,1,1,1,177.8,177.8,170,900,3,0,1,0,1,1,0,185.42,190.5,170,34,28,2,0,-2,2
Sean Brady,Jake Matthews,861.5285645,34,0,2,0,3,10,4,180.34,185.42,170,653.5,8,0,3,0,3,3,0,177.8,182.88,170,26,28,0,0,0,2
Belal Muhammad,Dhiego Lima,760.2851563,18,2,0,1,3,4,5,187.96,190.5,170,852.1064453,31,0,0,1,4,8,3,180.34,182.88,170,32,32,0,0,0,2
Kamaru Usman,Gilbert Burns,993.7979126,36,0,3,0,6,12,3,177.8,180.34,170,1462.776855,43,4,12,0,12,12,0,182.88,193.04,170,34,33,2,0,-2,2
Warlley Alves,Mounir Lazzez,900,3,0,1,0,1,1,0,185.42,193.04,170,549.8701172,27,1,4,0,4,7,4,180.34,182.88,170,33,30,0,0,0,2
Michael Chiesa,Neil Magny,883.513015,61,0,1,0,7,17,6,190.5,203.2,170,765.4797363,30,1,2,0,3,10,4,185.42,190.5,170,33,33,1,0,-1,2
Carlos Condit,Matt Brown,401.9071006,58,0,1,0,7,15,11,182.88,190.5,170,694.5741882,48,3,0,1,5,8,9,187.96,190.5,170,40,36,0,0,0,2
David Zawada,Ramazan Emeev,900,15,0,3,0,3,4,1,177.8,193.04,170,521.75,7,0,0,2,1,1,2,182.88,190.5,170,33,30,0,1,1,0
Santiago Ponzinibbio,Li Jingliang,876.6069336,32,0,1,0,4,9,4,182.88,180.34,170,858.296875,25,0,0,1,7,9,2,182.88,185.42,170,32,34,0,0,0,0
Stephen Thompson,Geoff Neal,306.6875,9,0,5,0,5,5,0,180.34,190.5,170,927.1433716,43,2,1,0,7,10,5,182.88,190.5,170,30,37,0,1,1,2
Anthony Pettis,Alex Morono,632.2890625,26,0,2,0,3,7,4,180.34,182.88,170,737.9572067,48,4,0,1,5,10,9,177.8,182.88,155,30,33,0,0,0,2
Michel Pereira,Khaos Williams,28.5,2,0,2,0,2,2,0,182.88,195.58,170,762.625,10,0,1,0,1,2,2,185.42,185.42,170,26,27,0,0,0,2
Miguel Baeza,Takashi Sato,297.25,6,0,1,0,1,2,1,177.8,185.42,170,385,4,0,2,0,2,2,0,187.96,187.96,170,30,28,0,1,1,2
