R_fighter,B_fighter,BR_Total_time_fought,BR_total_rounds_fought,BR_total_title_bouts,BR_current_win_streak,BR_current_lose_streak,BR_longest_win_Streak,BR_Wins,BR_losses,BR_Height,BR_Reach,BR_Weight,BR_age,BR_Stance,Win
Song Kenan,Max Griffin,364.53125,18,0,-2,1,-1,0,5,-5,10,-15,4,0,0
Leon Edwards,Belal Muhammad,-397.519043,-4,0,0,0,-4,-1,1,-2,3,-5,3,-1,1
Matthew Semelsberger,Jason Witt,-661.5,0,0,-1,1,0,0,1,-1,2,-3,6,-2,2
Sean Brady,Jake Matthews,208.0285645,26,0,-1,0,0,7,4,3,1,2,-2,0,2
Belal Muhammad,Dhiego Lima,-91.82128906,-13,2,0,0,-1,-4,2,-6,8,-14,0,0,2
Kamaru Usman,Gilbert Burns,-468.9789429,-7,-4,-9,0,-6,0,3,-3,6,-9,1,-2,2
Warlley Alves,Mounir Lazzez,350.1298828,-24,-1,-3,0,-3,-6,-4,-2,-2,0,3,0,2
Michael Chiesa,Neil Magny,118.0332787,31,-1,-1,0,4,7,2,5,-3,8,0,-1,2
Carlos Condit,Matt Brown,-292.6670876,10,-3,1,-1,2,7,2,5,-3,8,4,0,2
David Zawada,Ramazan Emeev,378.25,8,0,3,-2,2,3,-1,4,-5,9,3,1,0
Santiago Ponzinibbio,Li Jingliang,18.31005859,7,0,1,-1,-3,0,2,-2,4,-6,-2,0,0
Stephen Thompson,Geoff Neal,-620.4558716,-34,-2,4,0,-2,-5,-5,0,-5,5,-7,1,2
Anthony Pettis,Alex Morono,-105.6681442,-22,-4,2,-1,-2,-3,-5,2,-7,9,-3,0,2
Michel Pereira,Khaos Williams,-734.125,-8,0,1,0,1,0,-2,2,-4,6,-1,0,2
Miguel Baeza,Takashi Sato,-87.75,2,0,-1,0,-1,0,1,-1,2,-3,2,1,2
Mike Perry,Tim Means,-30.31390476,18,0,0,0,2,5,4,1,3,-2,7,0,0
Daniel Rodriguez,Nicolas Dalby,107.75,10,0,-2,0,-2,-1,4,-5,9,-14,3,-1,0
Alex Morono,Rhys McKee,-175.578125,-22,0,-2,1,-3,-6,-3,-3,0,-3,-5,0,2
Abdul Razak Alhassan,Khaos Williams,-508.21875,-9,0,0,0,-2,-3,-2,-1,-1,0,-9,0,0
Cole Williams,Jason Witt,-107,0,0,0,0,0,0,0,0,0,0,-3,0,0
Claudio Silva,James Krause,412.8540039,18,0,-4,0,1,3,4,-1,5,-6,-4,-1,0
Carlos Condit,Court McGee,405.7943115,0,-2,3,-1,-2,1,-1,2,-3,5,-1,0,2
