fightID,R_fighter,B_fighter,date,Winner
1,Song Kenan,Max Griffin,3/20/2021,0
2,Leon Edwards,Belal Muhammad,3/13/2021,1
3,Matthew Semelsberger,Jason Witt,3/13/2021,2
4,Sean Brady,Jake Matthews,3/6/2021,2
5,Belal Muhammad,Dhiego Lima,2/13/2021,2
6,Kamaru Usman,Gilbert Burns,2/13/2021,2
7,Warlley Alves,Mounir Lazzez,1/20/2021,2
8,Michael Chiesa,Neil Magny,1/20/2021,2
9,Carlos Condit,Matt Brown,1/16/2021,2
10,David Zawada,Ramazan Emeev,1/16/2021,0
11,Santiago Ponzinibbio,Li Jingliang,1/16/2021,0
12,Stephen Thompson,Geoff Neal,12/19/2020,2
13,Anthony Pettis,Alex Morono,12/19/2020,2
14,Michel Pereira,Khaos Williams,12/19/2020,2
15,Miguel Baeza,Takashi Sato,11/28/2020,2
16,Mike Perry,Tim Means,11/21/2020,0
17,Daniel Rodriguez,Nicolas Dalby,11/21/2020,0
18,Alex Morono,Rhys McKee,11/14/2020,2
19,Abdul Razak Alhassan,Khaos Williams,11/14/2020,0
20,Cole Williams,Jason Witt,10/31/2020,0
21,Claudio Silva,James Krause,10/17/2020,0
22,Carlos Condit,Court McGee,10/3/2020,2
23,Diego Sanchez,Jake Matthews,9/26/2020,0
24,Colby Covington,Tyron Woodley,9/19/2020,2
25,Donald Cerrone,Niko Price,9/19/2020,1
26,Bryan Barberena,Anthony Ivy,9/12/2020,2
27,Michel Pereira,Zelim Imadaev,9/5/2020,2
28,Robbie Lawler,Neil Magny,8/29/2020,0
29,Sean Brady,Christian Aguilera,8/29/2020,2
30,Daniel Rodriguez,Dwight Grant,8/22/2020,2
31,Tim Means,Laureano Staropoli,8/8/2020,2
32,Vicente Luque,Randy Brown,8/1/2020,2
33,Alex Oliveira,Peter Sobotta,7/25/2020,2
34,Nicolas Dalby,Jesse Ronson,7/25/2020,1
35,Elizeu Zaleski dos Santos,Muslim Salikhov,7/11/2020,0
36,Kamaru Usman,Jorge Masvidal,7/11/2020,2
37,Mike Perry,Mickey Gall,6/27/2020,2
38,Belal Muhammad,Lyman Good,6/20/2020,2
39,Neil Magny,Anthony Rocco Martin,6/6/2020,2
40,Tyron Woodley,Gilbert Burns,5/30/2020,0
41,Matt Brown,Miguel Baeza,5/16/2020,0
42,Anthony Pettis,Donald Cerrone,5/9/2020,2
43,Vicente Luque,Niko Price,5/9/2020,2
44,Elizeu Zaleski dos Santos,Aleksei Kunchenko,3/14/2020,2
45,Demian Maia,Gilbert Burns,3/14/2020,0
46,Neil Magny,Li Jingliang,3/7/2020,2
47,Alex Oliveira,Max Griffin,3/7/2020,2
48,Sean Brady,Ismail Naurdiev,2/29/2020,2
49,Jake Matthews,Emil Meek,2/22/2020,2
50,Callan Potter,Song Kenan,2/22/2020,0
51,Diego Sanchez,Michel Pereira,2/15/2020,2
52,Rafael Dos Anjos,Michael Chiesa,1/25/2020,0
53,Conor McGregor,Donald Cerrone,1/18/2020,2
54,Geoff Neal,Mike Perry,12/14/2019,2
55,Kamaru Usman,Colby Covington,12/14/2019,2
56,Matt Brown,Ben Saunders,12/14/2019,2
57,Thiago Alves,Tim Means,12/7/2019,0
58,Sergio Moraes,James Krause,11/16/2019,0
59,Warlley Alves,Randy Brown,11/16/2019,0
60,Zelim Imadaev,Danny Roberts,11/9/2019,0
61,Rustam Khabilov,Sergey Khandozhko,11/9/2019,2
62,Ramazan Emeev,Anthony Rocco Martin,11/9/2019,0
63,Stephen Thompson,Vicente Luque,11/2/2019,2
64,Jorge Masvidal,Nate Diaz,11/2/2019,2
65,Lyman Good,Chance Rencountre,11/2/2019,2
66,Muslim Salikhov,Laureano Staropoli,10/26/2019,2
67,Demian Maia,Ben Askren,10/26/2019,2
68,Niko Price,James Vick,10/12/2019,2
69,Max Griffin,Alex Morono,10/12/2019,0
70,Jake Matthews,Rostem Akman,10/5/2019,2
71,Luke Jumeau,Dhiego Lima,10/5/2019,0
72,Nicolas Dalby,Alex Oliveira,9/28/2019,2
73,Gunnar Nelson,Gilbert Burns,9/28/2019,0
74,Siyar Bahadurzada,Ismail Naurdiev,9/28/2019,0
75,Belal Muhammad,Takashi Sato,9/7/2019,2
76,Nordine Taleb,Muslim Salikhov,9/7/2019,0
77,Li Jingliang,Elizeu Zaleski dos Santos,8/31/2019,2
78,Song Kenan,Derrick Krantz,8/31/2019,2
79,Anthony Pettis,Nate Diaz,8/17/2019,0
80,Vicente Luque,Mike Perry,8/10/2019,2
81,Gilbert Burns,Aleksei Kunchenko,8/10/2019,2
82,Colby Covington,Robbie Lawler,8/3/2019,2
83,Mickey Gall,Salim Touahri,8/3/2019,2
84,Geoff Neal,Niko Price,7/27/2019,2
85,Erik Koch,Kyle Stewart,7/27/2019,2
86,Rafael Dos Anjos,Leon Edwards,7/20/2019,0
87,Jorge Masvidal,Ben Askren,7/6/2019,2
88,Diego Sanchez,Michael Chiesa,7/6/2019,0
89,Ismail Naurdiev,Chance Rencountre,7/6/2019,0
90,Demian Maia,Anthony Rocco Martin,6/29/2019,2
91,Bryan Barberena,Randy Brown,6/22/2019,0
92,Rafael Dos Anjos,Kevin Lee,5/18/2019,2
93,Thiago Alves,Laureano Staropoli,5/11/2019,0
94,Warlley Alves,Sergio Moraes,5/11/2019,2
95,Alex Oliveira,Mike Perry,4/27/2019,0
96,Court McGee,Dhiego Lima,4/27/2019,0
97,Sultan Aliev,Keita Nakamura,4/20/2019,2
98,Alan Jouban,Dwight Grant,4/13/2019,0
99,Curtis Millender,Belal Muhammad,4/13/2019,0
100,Stephen Thompson,Anthony Pettis,3/23/2019,0
101,Danny Roberts,Claudio Silva,3/16/2019,0
102,Darren Till,Jorge Masvidal,3/16/2019,0
103,Leon Edwards,Gunnar Nelson,3/16/2019,2
104,Elizeu Zaleski dos Santos,Curtis Millender,3/9/2019,2
105,Anthony Rocco Martin,Sergio Moraes,3/9/2019,2
106,Tim Means,Niko Price,3/9/2019,0
107,Alex Morono,Zak Ottow,3/9/2019,2
108,Tyron Woodley,Kamaru Usman,3/2/2019,0
109,Diego Sanchez,Mickey Gall,3/2/2019,2
