,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
6,Song Kenan,Max Griffin,2021-03-20,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,180.34,193.04,170.0,445.0,10,0,2,0,2,4,1,0,0,0,1,3,0,0,182.88,180.34,170.0,35.0,31.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,Leon Edwards,Belal Muhammad,2021-03-13,876.05322265625,34,0,0,1,4,9,3,0,0,1,6,1,1,0,180.34,182.88,170.0,1273.572265625,38,0,0,1,8,10,2,0,0,1,6,2,1,0,187.96,187.96,170.0,32.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,Matthew Semelsberger,Jason Witt,2021-03-13,238.5,3,0,0,1,1,1,1,0,0,0,0,0,1,0,177.8,177.8,170.0,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,190.5,170.0,34.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
36,Sean Brady,Jake Matthews,2021-03-06,861.528564453125,34,0,2,0,3,10,4,0,0,1,4,0,4,1,180.34,185.42,170.0,653.5,8,0,3,0,3,3,0,0,0,0,2,0,1,0,177.8,182.88,170.0,26.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60,Belal Muhammad,Dhiego Lima,2021-02-13,760.28515625,18,2,0,1,3,4,5,0,0,2,1,1,0,0,187.96,190.5,170.0,852.1064453125,31,0,0,1,4,8,3,0,0,1,5,1,1,0,180.34,182.88,170.0,32.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
62,Kamaru Usman,Gilbert Burns,2021-02-13,993.7979125976562,36,0,3,0,6,12,3,0,0,0,5,3,4,0,177.8,180.34,170.0,1462.77685546875,43,4,12,0,12,12,0,0,0,0,9,2,1,0,182.88,193.04,170.0,34.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
94,Warlley Alves,Mounir Lazzez,2021-01-20,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,193.04,170.0,549.8701171875,27,1,4,0,4,7,4,0,0,0,2,1,3,1,180.34,182.88,170.0,33.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
98,Michael Chiesa,Neil Magny,2021-01-20,883.5130150318146,61,0,1,0,7,17,6,0,0,1,10,5,1,0,190.5,203.2,170.0,765.479736328125,30,1,2,0,3,10,4,0,0,0,4,0,6,0,185.42,190.5,170.0,33.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
109,Carlos Condit,Matt Brown,2021-01-16,401.9071006178856,58,0,1,0,7,15,11,0,0,0,2,11,2,0,182.88,190.5,170.0,694.5741882324219,48,3,0,1,5,8,9,0,0,1,2,4,0,1,187.96,190.5,170.0,40.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
110,David Zawada,Ramazan Emeev,2021-01-16,900.0,15,0,3,0,3,4,1,0,0,0,4,0,0,0,177.8,193.04,170.0,521.75,7,0,0,2,1,1,2,0,0,0,0,0,1,0,182.88,190.5,170.0,33.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
112,Santiago Ponzinibbio,Li Jingliang,2021-01-16,876.60693359375,32,0,1,0,4,9,4,0,0,1,2,6,0,0,182.88,180.34,170.0,858.296875,25,0,0,1,7,9,2,0,0,0,4,5,0,0,182.88,185.42,170.0,32.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
119,Stephen Thompson,Geoff Neal,2020-12-19,306.6875,9,0,5,0,5,5,0,0,0,0,1,3,1,0,180.34,190.5,170.0,927.1433715820312,43,2,1,0,7,10,5,0,0,0,5,5,0,0,182.88,190.5,170.0,30.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
121,Anthony Pettis,Alex Morono,2020-12-19,632.2890625,26,0,2,0,3,7,4,0,0,1,4,1,1,0,180.34,182.88,170.0,737.9572067260742,48,4,0,1,5,10,9,0,0,1,2,3,4,0,177.8,182.88,155.0,30.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
123,Michel Pereira,Khaos Williams,2020-12-19,28.5,2,0,2,0,2,2,0,0,0,0,0,2,0,0,182.88,195.58,170.0,762.625,10,0,1,0,1,2,2,0,0,0,0,1,1,0,185.42,185.42,170.0,26.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
148,Miguel Baeza,Takashi Sato,2020-11-28,297.25,6,0,1,0,1,2,1,0,0,0,0,2,0,0,177.8,185.42,170.0,385.0,4,0,2,0,2,2,0,0,0,0,0,2,0,0,187.96,187.96,170.0,30.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
163,Mike Perry,Tim Means,2020-11-21,645.7012319564818,48,0,2,0,4,12,10,0,0,1,4,5,2,0,187.96,190.5,170.0,676.01513671875,30,0,2,0,2,7,6,0,0,1,2,4,0,0,177.8,180.34,170.0,36.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
165,Daniel Rodriguez,Nicolas Dalby,2020-11-21,534.0,16,0,1,0,1,2,4,0,0,1,1,0,0,0,180.34,187.96,170.0,426.25,6,0,3,0,3,3,0,0,0,0,1,1,1,0,185.42,187.96,170.0,36.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173,Alex Morono,Rhys McKee,2020-11-14,189.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,198.12,170.0,364.578125,23,0,2,0,3,6,4,0,0,1,3,1,1,0,180.34,182.88,170.0,25.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
174,Abdul Razak Alhassan,Khaos Williams,2020-11-14,27.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,182.88,195.58,170.0,535.21875,10,0,1,0,3,4,2,0,0,0,0,4,0,0,177.8,185.42,170.0,26.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
196,Cole Williams,Jason Witt,2020-10-31,48.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,177.8,170.0,155.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,185.42,170.0,33.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
216,Claudio Silva,James Krause,2020-10-17,825.97900390625,29,0,1,0,6,8,4,0,0,0,3,3,2,0,187.96,185.42,170.0,413.125,11,0,5,0,5,5,0,0,0,1,1,0,3,0,180.34,180.34,170.0,34.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
