,R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,B_Country,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_Country,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan
6,Song Kenan,Max Griffin,3/20/2021,0,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,180.34,193.04,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,China,445,10,0,2,0,2,4,1,0,0,0,1,3,0,0,182.88,180.34,170,35,31,0,0,1,0,1,0,0,0
12,Leon Edwards,Belal Muhammad,3/13/2021,1,876.0532227,34,0,0,1,4,9,3,0,0,1,6,1,1,0,180.34,182.88,170,1,0,0,0,0,0,0,Palestine,1,0,0,0,0,0,0,england ,1273.572266,38,0,0,1,8,10,2,0,0,1,6,2,1,0,187.96,187.96,170,32,29,1,0,0,0,0,1,0,0
20,Matthew Semelsberger,Jason Witt,3/13/2021,2,238.5,3,0,0,1,1,1,1,0,0,0,0,0,1,0,177.8,177.8,170,0,0,0,0,0,1,0,USA,0,0,0,0,0,1,0,USA,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,190.5,170,34,28,1,0,0,0,1,0,0,0
36,Sean Brady,Jake Matthews,3/6/2021,2,861.5285645,34,0,2,0,3,10,4,0,0,1,4,0,4,1,180.34,185.42,170,0,0,0,0,0,1,0,Australia,0,0,0,0,0,1,0,USA,653.5,8,0,3,0,3,3,0,0,0,0,2,0,1,0,177.8,182.88,170,26,28,1,0,0,0,1,0,0,0
60,Belal Muhammad,Dhiego Lima,2/13/2021,2,760.2851563,18,2,0,1,3,4,5,0,0,2,1,1,0,0,187.96,190.5,170,1,0,0,0,0,0,0,Brazil,1,0,0,0,0,0,0,Palestine,852.1064453,31,0,0,1,4,8,3,0,0,1,5,1,1,0,180.34,182.88,170,32,32,1,0,0,0,0,0,1,0
62,Kamaru Usman,Gilbert Burns,2/13/2021,2,993.7979126,36,0,3,0,6,12,3,0,0,0,5,3,4,0,177.8,180.34,170,1,0,0,0,0,0,0,Brazil,1,0,0,0,0,0,0,Nigeria,1462.776855,43,4,12,0,12,12,0,0,0,0,9,2,1,0,182.88,193.04,170,34,33,1,0,0,0,0,1,0,0
94,Warlley Alves,Mounir Lazzez,1/20/2021,2,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,193.04,170,0,0,0,0,0,1,0,Tunisia,0,1,0,0,0,0,0,Brazil,549.8701172,27,1,4,0,4,7,4,0,0,0,2,1,3,1,180.34,182.88,170,33,30,1,0,0,0,1,0,0,0
98,Michael Chiesa,Neil Magny,1/20/2021,2,883.513015,61,0,1,0,7,17,6,0,0,1,10,5,1,0,190.5,203.2,170,0,0,0,0,0,1,0,USA,0,0,0,1,0,0,0,USA,765.4797363,30,1,2,0,3,10,4,0,0,0,4,0,6,0,185.42,190.5,170,33,33,1,0,0,0,1,0,0,0
109,Carlos Condit,Matt Brown,1/16/2021,2,401.9071006,58,0,1,0,7,15,11,0,0,0,2,11,2,0,182.88,190.5,170,1,0,0,0,0,0,0,USA,1,1,0,0,0,0,0,USA,694.5741882,48,3,0,1,5,8,9,0,0,1,2,4,0,1,187.96,190.5,170,40,36,0,1,0,0,1,0,0,0
110,David Zawada,Ramazan Emeev,1/16/2021,0,900,15,0,3,0,3,4,1,0,0,0,4,0,0,0,177.8,193.04,170,0,1,0,0,0,0,0,Russia,1,0,0,0,0,0,0,Germany,521.75,7,0,0,2,1,1,2,0,0,0,0,0,1,0,182.88,190.5,170,33,30,0,1,0,0,1,0,0,0
112,Santiago Ponzinibbio,Li Jingliang,1/16/2021,0,876.6069336,32,0,1,0,4,9,4,0,0,1,2,6,0,0,182.88,180.34,170,1,0,0,0,0,0,0,China,1,0,0,0,0,0,0,Argentina,858.296875,25,0,0,1,7,9,2,0,0,0,4,5,0,0,182.88,185.42,170,32,34,1,0,0,0,1,0,0,0
119,Stephen Thompson,Geoff Neal,12/19/2020,2,306.6875,9,0,5,0,5,5,0,0,0,0,1,3,1,0,180.34,190.5,170,1,0,0,0,0,0,0,USA,0,0,0,0,1,0,0,USA,927.1433716,43,2,1,0,7,10,5,0,0,0,5,5,0,0,182.88,190.5,170,30,37,1,0,0,0,1,0,0,0
121,Anthony Pettis,Alex Morono,12/19/2020,2,632.2890625,26,0,2,0,3,7,4,0,0,1,4,1,1,0,180.34,182.88,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,737.9572067,48,4,0,1,5,10,9,0,0,1,2,3,4,0,177.8,182.88,155,30,33,1,0,0,0,0,1,0,0
123,Michel Pereira,Khaos Williams,12/19/2020,2,28.5,2,0,2,0,2,2,0,0,0,0,0,2,0,0,182.88,195.58,170,0,0,0,0,0,1,0,USA,1,0,0,0,0,0,0,Brazil,762.625,10,0,1,0,1,2,2,0,0,0,0,1,1,0,185.42,185.42,170,26,27,0,1,0,0,0,0,1,0
148,Miguel Baeza,Takashi Sato,11/28/2020,2,297.25,6,0,1,0,1,2,1,0,0,0,0,2,0,0,177.8,185.42,170,1,0,0,0,0,0,0,Japan,1,0,0,0,0,0,0,USA,385,4,0,2,0,2,2,0,0,0,0,0,2,0,0,187.96,187.96,170,30,28,0,1,0,0,1,0,0,0
163,Mike Perry,Tim Means,11/21/2020,0,645.701232,48,0,2,0,4,12,10,0,0,1,4,5,2,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,676.0151367,30,0,2,0,2,7,6,0,0,1,2,4,0,0,177.8,180.34,170,36,29,0,1,0,0,1,0,0,0
165,Daniel Rodriguez,Nicolas Dalby,11/21/2020,0,534,16,0,1,0,1,2,4,0,0,1,1,0,0,0,180.34,187.96,170,0,0,0,0,0,1,0,Denmark,0,0,0,0,0,1,0,USA,426.25,6,0,3,0,3,3,0,0,0,0,1,1,1,0,185.42,187.96,170,36,33,1,0,0,0,1,0,0,0
173,Alex Morono,Rhys McKee,11/14/2020,2,189,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,198.12,170,0,0,0,0,0,1,0,Northern Ireland,0,1,0,0,0,0,0,USA,364.578125,23,0,2,0,3,6,4,0,0,1,3,1,1,0,180.34,182.88,170,25,30,1,0,0,0,1,0,0,0
174,Abdul Razak Alhassan,Khaos Williams,11/14/2020,0,27,1,0,1,0,1,1,0,0,0,0,0,1,0,0,182.88,195.58,170,0,0,0,0,0,1,0,USA,1,0,0,0,0,0,0,Ghana,535.21875,10,0,1,0,3,4,2,0,0,0,0,4,0,0,177.8,185.42,170,26,35,1,0,0,0,0,1,0,0
196,Cole Williams,Jason Witt,10/31/2020,0,48,1,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,177.8,170,0,0,0,0,0,1,0,USA,0,0,0,0,0,1,0,USA,155,1,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,185.42,170,33,36,0,1,0,0,0,0,1,0
216,Claudio Silva,James Krause,10/17/2020,0,825.9790039,29,0,1,0,6,8,4,0,0,0,3,3,2,0,187.96,185.42,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,brazil,413.125,11,0,5,0,5,5,0,0,0,1,1,0,3,0,180.34,180.34,170,34,38,1,0,0,0,1,0,0,0
