Fighter,total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,Height,Reach,Weight_lbs,age,Stance
Abdul Razak Alhassan,0.29,10,0,1,0,3,4,2,"5' 10""","73""",170 lbs.,35,Ortodox
Alan Jouban,0.18,21,0,1,0,3,7,4,"6' 0""","73""",170 lbs.,37,Southpaw
Aleksei Kunchenko,0.65,9,0,2,0,2,2,1,"5' 8""","70""",170 lbs.,35,Ortodox
Alex Morono,0.45,26,0,2,0,3,7,4,"5' 11""","72""",170 lbs.,30,Southpaw
Alex Oliveira,0.52,39,0,0,1,3,10,7,"5' 11""","76""",170 lbs.,32,Ortodox
Anthony Ivy,0.02,1,0,0,1,0,0,1,"6' 2""","74""",185 lbs.,30,Ortodox
Anthony Pettis,0.45,48,4,0,1,5,10,9,"5' 10""","72""",155 lbs.,33,Ortodox
Anthony Rocco Martin,0.64,38,0,0,2,4,9,5,"6' 0""","73""",170 lbs.,30,Ortodox
Belal Muhammad,0.63,34,0,0,1,4,9,3,"5' 11""","72""",170 lbs.,32,Southpaw
Belal Muhammad,0.53,31,0,0,1,4,8,3,"5' 11""","72""",170 lbs.,32,Ortodox
Ben Askren,0.06,2,0,1,0,1,1,1,"5' 11""","73""",170 lbs.,35,Ortodox
Ben Saunders,0.22,35,0,3,0,3,9,9,"6' 2""","77""",170 lbs.,36,Ortodox
Bryan Barberena,0.43,25,0,1,0,2,5,5,"6' 0""","72""",170 lbs.,31,Southpaw
Callan Potter,0.25,4,0,0,1,1,1,1,"6' 0""","72""",170 lbs.,35,None
Carlo Pedersoli Jr.,0.33,4,0,1,0,1,1,1,"5' 11""","75""",170 lbs.,25,Ortodox
Carlos Condit,0.41,48,3,0,1,5,8,9,"6' 2""","75""",170 lbs.,36,Southpaw
Chance Rencountre,0.51,7,0,0,1,2,2,1,"6' 2""","75""",170 lbs.,32,Southpaw
Christian Aguilera,0.02,1,0,1,0,1,1,0,"5' 9""","72""",170 lbs.,28,Switch
Claudio Silva,0.20,11,0,5,0,5,5,0,"5' 11""","71""",170 lbs.,38,Ortodox
Colby Covington,0.95,38,2,3,0,7,10,2,"5' 11""","72""",170 lbs.,32,Southpaw
Cole Williams,0.00,1,0,0,1,0,0,1,"6' 0""","73""",170 lbs.,36,Southpaw
Conor McGregor,0.57,24,4,7,0,7,9,2,"5' 9""","74""",155 lbs.,31,Ortodox
Court McGee,0.65,45,1,3,0,3,8,8,"5' 11""","75""",170 lbs.,35,Southpaw
Curtis Millender,0.25,9,0,3,0,3,3,1,"6' 2""","76""",170 lbs.,31,Ortodox
Daniel Rodriguez,0.21,6,0,3,0,3,3,0,"6' 1""","74""",170 lbs.,33,Ortodox
Danny Roberts,0.27,18,0,2,0,2,5,4,"6' 1""","74""",170 lbs.,32,Southpaw
Darren Till,0.49,19,1,1,0,4,5,2,"6' 0""","74""",185 lbs.,26,Ortodox
David Zawada,0.28,7,0,0,2,1,1,2,"6' 0""","75""",170 lbs.,30,Southpaw
Demian Maia,0.51,85,2,5,0,7,22,9,"6' 1""","72""",170 lbs.,42,Southpaw
Derrick Krantz,0.15,1,0,0,1,0,0,1,"5' 10""","72""",170 lbs.,31,Ortodox
Dhiego Lima,0.55,18,2,0,1,3,4,5,"6' 2""","75""",170 lbs.,32,Switch
Diego Sanchez,0.47,81,2,6,0,6,19,12,"5' 10""","72""",170 lbs.,38,Switch
Donald Cerrone,0.34,75,1,4,0,8,23,12,"6' 1""","73""",155 lbs.,37,Ortodox
Dwight Grant,0.54,7,0,0,1,2,2,1,"6' 1""","76""",170 lbs.,35,Ortodox
Elizeu Zaleski dos Santos,0.46,25,0,0,1,7,8,2,"5' 11""","73""",170 lbs.,33,Ortodox
Emil Meek,0.65,9,0,1,0,1,1,2,"5' 11""","74""",170 lbs.,31,Ortodox
Erik Koch,0.47,19,0,2,0,2,4,5,"5' 10""","71""",170 lbs.,30,Ortodox
Geoff Neal,0.21,9,0,5,0,5,5,0,"5' 11""","75""",170 lbs.,30,Ortodox
Gilbert Burns,0.72,36,0,3,0,6,12,3,"5' 10""","71""",170 lbs.,34,Southpaw
Gunnar Nelson,0.39,26,0,4,0,4,8,4,"5' 11""","72""",170 lbs.,31,Ortodox
Ismail Naurdiev,0.65,9,0,1,0,1,2,1,"5' 10""","74""",170 lbs.,23,Ortodox
Jake Matthews,0.62,34,0,2,0,3,10,4,"5' 11""","73""",170 lbs.,26,Ortodox
James Krause,0.60,29,0,1,0,6,8,4,"6' 2""","73""",170 lbs.,34,Ortodox
James Vick,0.28,26,0,5,0,5,9,4,"6' 3""","76""",155 lbs.,32,Ortodox
Jason Witt,0.16,3,0,0,1,1,1,1,"5' 10""","70""",170 lbs.,34,Ortodox
Jesse Ronson,0.65,9,0,0,3,0,0,3,"5' 10""","70""",170 lbs.,34,Southpaw
Jorge Masvidal,0.44,47,0,2,0,3,12,6,"5' 11""","74""",170 lbs.,35,Ortodox
Kamaru Usman,1.00,43,4,12,0,12,12,0,"6' 0""","76""",170 lbs.,33,Ortodox
Keita Nakamura,0.64,29,0,0,3,1,4,6,"5' 11""","73""",170 lbs.,34,Ortodox
Kevin Lee,0.91,36,1,0,1,5,10,4,"5' 9""","77""",170 lbs.,26,Ortodox
Khaos Williams,0.00,2,0,2,0,2,2,0,"6' 0""","77""",170 lbs.,26,Switch
Kyle Stewart,0.09,1,0,0,1,0,0,1,"6' 0""","76""",170 lbs.,30,Ortodox
Laureano Staropoli,0.65,9,0,2,0,2,2,1,"6' 1""","71""",170 lbs.,27,Ortodox
Leon Edwards,0.86,38,0,0,1,8,10,2,"6' 2""","74""",170 lbs.,29,Ortodox
Li Jingliang,0.62,29,0,1,0,4,9,3,"6' 0""","71""",170 lbs.,31,Ortodox
Luke Jumeau,0.57,9,0,1,0,1,2,1,"5' 11""","72""",170 lbs.,31,Ortodox
Lyman Good,0.35,10,0,1,0,1,3,2,"6' 0""","74""",170 lbs.,35,Ortodox
Matt Brown,0.28,58,0,1,0,7,15,11,"6' 0""","75""",170 lbs.,40,Ortodox
Matthew Semelsberger,0.57,3,0,1,0,1,1,0,"6' 1""","75""",170 lbs.,28,Ortodox
Max Griffin,0.58,28,0,0,1,1,4,6,"5' 11""","76""",170 lbs.,35,Ortodox
